symbol,date,open,high,low,close,volume
SP500,12-Mar-24,5134.3,5179.87,5115.04,5175.27,2294319000
SP500,13-Mar-24,5173.49,5179.14,5151.88,5165.31,2415913000
SP500,14-Mar-24,5175.14,5176.85,5123.3,5150.48,2653396000
SP500,15-Mar-24,5123.31,5136.86,5104.35,5117.09,5156068000
SP500,18-Mar-24,5154.77,5175.6,5145.84,5149.42,2395482000
SP500,19-Mar-24,5139.09,5180.31,5131.59,5178.51,2206625000
SP500,20-Mar-24,5181.69,5226.19,5171.55,5224.62,2293911000
SP500,21-Mar-24,5253.43,5261.1,5240.66,5241.53,2513703000
SP500,22-Mar-24,5242.48,5246.09,5229.87,5234.18,2009116000
SP500,25-Mar-24,5219.52,5229.09,5216.19,5218.19,2083558000
SP500,26-Mar-24,5228.85,5235.16,5203.42,5203.58,2254198000
SP500,27-Mar-24,5226.31,5249.26,5213.92,5248.49,2275362000
SP500,28-Mar-24,5248.03,5264.85,5245.82,5254.35,2400060000
SP500,1-Apr-24,5257.97,5263.95,5229.2,5243.77,1992072000
SP500,2-Apr-24,5204.29,5208.34,5184.05,5205.81,2404999000
SP500,3-Apr-24,5194.37,5228.75,5194.37,5211.49,2291920000
SP500,4-Apr-24,5244.05,5256.59,5146.06,5147.21,2533977000
SP500,5-Apr-24,5158.95,5222.18,5157.36,5204.34,2201732000
SP500,8-Apr-24,5211.37,5219.57,5197.35,5202.39,2006990000
SP500,9-Apr-24,5217.03,5224.81,5160.78,5209.91,2025386000
SP500,10-Apr-24,5167.88,5178.43,5138.7,5160.64,2288235000
SP500,11-Apr-24,5172.95,5211.78,5138.77,5199.06,2204862000
SP500,12-Apr-24,5171.51,5175.03,5107.94,5123.41,2409340000
SP500,15-Apr-24,5149.67,5168.41,5052.47,5061.82,2305702000
SP500,16-Apr-24,5064.59,5079.84,5040.39,5051.41,2334072000
SP500,17-Apr-24,5068.97,5077.96,5007.25,5022.21,2289243000
SP500,18-Apr-24,5031.52,5056.66,5001.89,5011.12,2206949000
SP500,19-Apr-24,5005.44,5018.7,4953.56,4967.23,2733303000
SP500,22-Apr-24,4987.33,5038.84,4969.4,5010.6,2348891000
SP500,23-Apr-24,5028.85,5076.12,5027.96,5070.55,2311654000
SP500,24-Apr-24,5084.86,5089.48,5047.02,5071.63,2523336000
SP500,25-Apr-24,5019.88,5057.75,4990.58,5048.42,2691434000
SP500,26-Apr-24,5084.65,5114.62,5073.28,5099.96,2401044000
SP500,29-Apr-24,5114.13,5123.19,5088.65,5116.17,2337163000
SP500,30-Apr-24,5103.78,5110.83,5035.64,5035.69,2776658000
SP500,1-May-24,5029.03,5096.12,5013.45,5018.39,2863485000
SP500,2-May-24,5049.32,5073.21,5011.53,5064.2,2622597000
SP500,3-May-24,5122.78,5135.62,5101.22,5127.79,2441285000
SP500,6-May-24,5142.42,5181,5142.42,5180.74,2174333000
