https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1666951200,2022-10-28 10:00:00,BNB/USD,286.7838,286.8837,286.7838,286.8837,0.368175,105.62340624749999
1666944000,2022-10-28 08:00:00,BNB/USD,287.0006,287.0006,287.0006,287.0006,0.348431,99.9999060586
1666929600,2022-10-28 04:00:00,BNB/USD,287.6459,287.6459,287.6459,287.6459,0.173339,49.860252660099995
1666922400,2022-10-28 02:00:00,BNB/USD,288.0053,288.0611,288.0053,288.0611,0.098581,28.397351299100002
1666918800,2022-10-28 01:00:00,BNB/USD,286.8963,286.8963,286.8963,286.8963,0.9,258.20667000000003
1666915200,2022-10-28 00:00:00,BNB/USD,286.7808,286.7809,286.7808,286.7808,0.331264,95.0001549312
1666908000,2022-10-27 22:00:00,BNB/USD,285.2318,285.2318,280.0001,280.0001,0.735057,205.81603350569998
1666904400,2022-10-27 21:00:00,BNB/USD,286.8692,288.8482,286.8692,288.8482,0.640501,185.0075609482
1666900800,2022-10-27 20:00:00,BNB/USD,285.8047,287.4874,280.0001,287.4874,2.443579,702.4981734046
1666893600,2022-10-27 18:00:00,BNB/USD,287.9509,288.4591,287.9509,288.4591,0.571947,164.98331686769998
1666886400,2022-10-27 16:00:00,BNB/USD,287.9768,287.9768,287.9768,287.9768,0.163693,47.139786322400006
1666879200,2022-10-27 14:00:00,BNB/USD,289.2098,289.2098,288.5529,288.5529,1.518273,438.1020771417
1666875600,2022-10-27 13:00:00,BNB/USD,288.3949,289.506,288.3949,289.506,2.962472,857.6534188319999
1666872000,2022-10-27 12:00:00,BNB/USD,287.4548,288.3949,280.7761,288.3949,5.805757,1674.3507094393
1666861200,2022-10-27 09:00:00,BNB/USD,286.874,286.874,280.0001,280.0001,2.956053,827.6951356052999
1666857600,2022-10-27 08:00:00,BNB/USD,289.6873,289.6873,289.6873,289.6873,0.137734,39.8997905782
