https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1664841600000.0,2022-10-04 00:00:00,LTC/USD,54.19,55.765,53.885,55.28,248738.9351600941,13750288.33565
1664755200000.0,2022-10-03 00:00:00,LTC/USD,51.805,54.36,51.46,54.19,356593.74738789443,19323815.17095
1664668800000.0,2022-10-02 00:00:00,LTC/USD,52.91,53.455,51.68,51.805,219127.22937071713,11351886.11755
1664582400000.0,2022-10-01 00:00:00,LTC/USD,53.48,53.83,52.44,52.91,174116.23526743526,9212490.008
1664496000000.0,2022-09-30 00:00:00,LTC/USD,53.96,55.11,52.865,53.48,289765.978539641,15496684.5323
1664409600000.0,2022-09-29 00:00:00,LTC/USD,53.3,54.155,52.25,53.96,205688.05895570794,11098927.66125
1664323200000.0,2022-09-28 00:00:00,LTC/USD,52.66,53.825,51.0,53.3,250744.1830694184,13364664.9576
1664236800000.0,2022-09-27 00:00:00,LTC/USD,53.43,55.605,51.8,52.66,294774.3705934296,15522818.35545
1664150400000.0,2022-09-26 00:00:00,LTC/USD,52.52,53.75,51.885,53.43,228556.05314523674,12211749.91955
1664064000000.0,2022-09-25 00:00:00,LTC/USD,53.415,54.4,52.235,52.52,169683.51387757043,8911778.14885
1663977600000.0,2022-09-24 00:00:00,LTC/USD,55.225,55.94,53.18,53.415,170069.72869605914,9084274.5583
1663891200000.0,2022-09-23 00:00:00,LTC/USD,53.555,55.32,51.4,55.225,215008.06078587595,11873820.1569
1663804800000.0,2022-09-22 00:00:00,LTC/USD,51.075,54.075,50.63,53.555,200848.87926057325,10756461.7288
1663718400000.0,2022-09-21 00:00:00,LTC/USD,52.325,55.565,50.25,51.075,359940.6931992168,18383970.90515
1663632000000.0,2022-09-20 00:00:00,LTC/USD,52.9,53.84,50.865,52.325,256326.95858958433,13412308.1082
1663545600000.0,2022-09-19 00:00:00,LTC/USD,52.645,53.745,50.0,52.9,262609.68150283553,13892052.1515
1663459200000.0,2022-09-18 00:00:00,LTC/USD,57.835,57.875,52.215,52.645,255776.7749681831,13465368.3182
1663372800000.0,2022-09-17 00:00:00,LTC/USD,55.955,58.44,55.81,57.835,132006.51525287455,7634596.80965
1663286400000.0,2022-09-16 00:00:00,LTC/USD,56.345,56.905,54.6,55.955,260002.90668304887,14548462.64345
1663200000000.0,2022-09-15 00:00:00,LTC/USD,60.19,60.88,55.85,56.345,311499.4926470849,17551438.9132
1663113600000.0,2022-09-14 00:00:00,LTC/USD,59.085,61.16,58.16,60.195,220530.6151814935,13274840.38085
1663027200000.0,2022-09-13 00:00:00,LTC/USD,61.41,67.45,58.345,59.085,428035.890127782,25290500.5682
1662940800000.0,2022-09-12 00:00:00,LTC/USD,62.185,63.255,60.1,61.41,362128.3956220486,22238304.77515
1662854400000.0,2022-09-11 00:00:00,LTC/USD,63.31,64.465,61.35,62.185,172182.8026662378,10707187.5838
1662768000000.0,2022-09-10 00:00:00,LTC/USD,61.155,64.725,60.575,63.31,207576.5704714895,13141672.67655
1662681600000.0,2022-09-09 00:00:00,LTC/USD,57.96,61.935,57.715,61.155,325072.5823628485,19879813.7744
1662595200000.0,2022-09-08 00:00:00,LTC/USD,57.3,58.6,56.03,57.96,298464.7859325397,17299018.99265
1662508800000.0,2022-09-07 00:00:00,LTC/USD,54.085,58.28,52.91,57.3,327089.89829581155,18742251.17235
1662422400000.0,2022-09-06 00:00:00,LTC/USD,60.385,62.75,54.01,54.085,444871.2503753351,24060861.57655
