unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1.65008E+12,4/16/2022 4:00,DOGE/USD,0.1468,0.14704,0.14145,0.14294,3216602.216,459781.1207
1.65002E+12,4/15/2022 12:00,DOGE/USD,0.14778,0.14855,0.14332,0.14411,7415613.399,1068664.047
1.65E+12,4/15/2022 4:00,DOGE/USD,0.14383,0.14979,0.14316,0.1468,11166806.31,1639287.166
1.64994E+12,4/14/2022 12:00,DOGE/USD,0.14498,0.14979,0.1386,0.14778,16680058.83,2464979.094
1.64991E+12,4/14/2022 4:00,DOGE/USD,0.14105,0.14754,0.137,0.14383,18257447.81,2625968.719
1.64985E+12,4/13/2022 12:00,DOGE/USD,0.13793,0.14754,0.13625,0.14498,13503175.44,1957690.375
1.64982E+12,4/13/2022 4:00,DOGE/USD,0.14055,0.14228,0.13905,0.14105,2422621.397,341710.7481
1.64976E+12,4/12/2022 12:00,DOGE/USD,0.14186,0.14458,0.13455,0.13793,12667363.79,1747209.488
1.64974E+12,4/12/2022 4:00,DOGE/USD,0.13595,0.14458,0.13455,0.14055,12445195.69,1749172.254
1.64968E+12,4/11/2022 12:00,DOGE/USD,0.14066,0.14268,0.13305,0.14186,12281612.2,1742269.506
1.64965E+12,4/11/2022 4:00,DOGE/USD,0.14624,0.14761,0.13305,0.13595,19902662.15,2705766.919
1.64959E+12,4/10/2022 12:00,DOGE/USD,0.14952,0.15816,0.13819,0.14066,29251238.65,4114479.229
1.64956E+12,4/10/2022 4:00,DOGE/USD,0.14987,0.15816,0.14495,0.14624,22253273.11,3254318.66
1.64951E+12,4/9/2022 12:00,DOGE/USD,0.14294,0.15187,0.14236,0.14952,8799640.238,1315722.208
1.64948E+12,4/9/2022 4:00,DOGE/USD,0.1423,0.15187,0.14169,0.14987,8054372.269,1207108.772
1.64942E+12,4/8/2022 12:00,DOGE/USD,0.14485,0.15014,0.14062,0.14294,7275886.336,1040015.193
1.64939E+12,4/8/2022 4:00,DOGE/USD,0.15038,0.15343,0.14062,0.1423,10362027.33,1474516.489
1.64933E+12,4/7/2022 12:00,DOGE/USD,0.14703,0.15343,0.14085,0.14485,11659675.45,1688903.989
1.6493E+12,4/7/2022 4:00,DOGE/USD,0.14276,0.15145,0.14085,0.15038,10404152.14,1564576.399
1.64925E+12,4/6/2022 12:00,DOGE/USD,0.15323,0.15504,0.13987,0.14703,22017899.46,3237291.757
1.64922E+12,4/6/2022 4:00,DOGE/USD,0.1598,0.1598,0.13987,0.14276,15023373.61,2144736.817
1.64916E+12,4/5/2022 12:00,DOGE/USD,0.15203,0.18,0.15135,0.15323,49170322.47,7534368.513
1.64913E+12,4/5/2022 4:00,DOGE/USD,0.15044,0.18,0.14949,0.1598,45187784.93,7221008.032
1.64907E+12,4/4/2022 12:00,DOGE/USD,0.15489,0.15554,0.14145,0.15203,39562290.38,6014655.006
1.64904E+12,4/4/2022 4:00,DOGE/USD,0.14466,0.15657,0.14141,0.15044,53098328.05,7988112.472
1.64899E+12,4/3/2022 12:00,DOGE/USD,0.14053,0.15657,0.14045,0.15489,33357269.32,5166707.444
1.64896E+12,4/3/2022 4:00,DOGE/USD,0.13919,0.14956,0.13916,0.14466,15428500.75,2231886.919
1.6489E+12,4/2/2022 12:00,DOGE/USD,0.14316,0.14439,0.1363,0.14053,22410772.57,3149385.869
1.64887E+12,4/2/2022 4:00,DOGE/USD,0.14287,0.14439,0.1363,0.13919,25871631.03,3601072.323
1.64881E+12,4/1/2022 12:00,DOGE/USD,0.13656,0.14426,0.13507,0.14316,17722979.89,2537221.801
1.64879E+12,4/1/2022 4:00,DOGE/USD,0.13494,0.14426,0.13436,0.14287,14394141.68,2056491.022
1.64873E+12,3/31/2022 12:00,DOGE/USD,0.14555,0.14638,0.13226,0.13656,15453894.19,2110383.791
1.6487E+12,3/31/2022 4:00,DOGE/USD,0.1447,0.14794,0.13226,0.13494,15654134.59,2112368.921
1.64864E+12,3/30/2022 12:00,DOGE/USD,0.14376,0.14794,0.14066,0.14555,8285695.395,1205982.965
1.64861E+12,3/30/2022 4:00,DOGE/USD,0.14249,0.14598,0.14162,0.1447,4185886.884,605697.8321
1.64856E+12,3/29/2022 12:00,DOGE/USD,0.14766,0.14889,0.13817,0.14376,10958355.78,1575373.228
1.64853E+12,3/29/2022 4:00,DOGE/USD,0.14456,0.14889,0.13817,0.14249,12189632.7,1736900.764
1.64847E+12,3/28/2022 12:00,DOGE/USD,0.14919,0.15389,0.14073,0.14766,17010301.06,2511741.054
